economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ASM,88.6075809307222,88.553433064242,88.4330093344384,88.2572251046343,88.0361455323111,87.7798357749499,87.4983609900321,87.2017863350389,86.9001769674517,86.6035980447517,86.3190673549669,86.0284991724475,85.7161174344451,85.3846465194761,85.0351448001542,84.668670649093,84.2862824389061,83.8890385422071,83.4779973316097,83.0542171797274,82.6240780620716,82.2127091544092,81.794797704649,81.3721542708222
ATG,32.2326072041227,31.7554348168059,31.2280374899146,30.6003743426951,29.905566716031,29.1737995723752,28.43525787418,27.7201265838981,27.0585906639822,26.4808350768849,26.0170447850587,25.694689859722,25.4555618588267,25.2475667667937,25.0899726107741,25.0,24.9239807471655,24.8500263836871,24.7781432093764,24.708337524045,24.6406156275043,24.574983819566,24.5114484000414,24.4500156687422
AUS,85.1071608578257,85.1481094164726,85.2842102783464,85.4097077818668,85.518767609412,85.6190871221958,85.7492544263523,85.8968519574969,86.0253816967666,86.1278139101818,86.2198600512143,86.3268946146423,86.4451259136625,86.5740515760243,86.7221289343356,86.8778642539361,87.0166295249235,87.12809266445,87.2267680845925,87.3019647888406,87.2713470458985,87.2353407632761,87.3343268253813,87.4866955653765
AUT,66.7690238969566,66.8408161285718,66.8887457136458,66.9263574955092,66.9558612872944,66.9797950654143,67.0006968062814,67.0211044863084,67.0435560819078,67.0705895694924,67.1047429254747,67.1484255415056,67.2085909812279,67.2981308784247,67.4154327591781,67.5576175537383,67.7218061923556,67.9051196052802,68.1046787227623,68.3176044750522,68.5410177924001,68.773601700253,68.998085127906,69.2265358276021
AZE,51.1320838928223,51.1584815979004,51.2144165039062,51.7257995605469,52.2831993103027,52.5028533935547,52.6540145874023,52.8281555175781,53.063304901123,53.1358125434574,53.2848367714869,53.5085461893249,53.8076442276208,54.1821087431318,54.6319175926151,55.1570486328276,55.7574797205266,56.4331887124691,57.1841534654123,58.1308191977779,58.2934691761937,58.3659969744818,58.4382815854684,58.5075350483702
BDI,8.04381449833197,8.24107308668089,8.45108277415092,8.67614339385788,8.9185547789176,9.1806167624459,9.4646291775586,9.77289185737152,10.1064353383035,10.4979900434482,10.9843097335487,11.5616652230006,12.2244596804615,12.9670962745892,13.7839781740413,14.6695085474754,15.6180905635494,16.6241273909209,17.6820221982475,18.786178154187,19.9309984273971,21.1108861865354,22.3202446002597,23.5534768372276
BEL,82.0152520403035,82.3356893921976,82.6509663267055,82.9609538786731,83.2655230829461,83.5645449743707,83.8578905877926,84.1454309580577,84.427037120012,84.7025801085014,84.9719309583717,85.2349607044689,85.4915403816388,85.7415410247275,85.9848336685807,86.2212893480444,86.4507790979645,86.6731739531869,86.8883449485575,87.0961631189222,87.2964994991269,87.4305564090635,87.489200269855,87.551492636772
BEN,38.2759517258875,38.6186257669218,39.0035069872981,39.4169696013044,39.8525699078742,40.3097749006517,40.7877794072449,41.2857782552618,41.8029662723105,42.338538285999,42.8916891239353,43.4616136137276,44.0475065829838,44.6502883669319,45.2880529235999,45.9407403257663,46.6094559006664,47.2942774880391,47.9952829275963,48.7125500590248,49.4461567219896,50.1961807561354,50.9627000010887,51.7457922964593
BFA,18.0003503329444,18.8591452143893,19.725053583448,20.563327262892,21.3392180754924,22.0179778440204,22.5528306908743,22.9741760828193,23.3633747838557,23.7452325601116,24.115092498158,24.4682976845657,24.8001912059054,25.106116148748,25.3814155996643,25.621432645225,25.821510372001,25.9769918665632,26.0832202154822,26.1187254401157,26.3578373628627,26.8114307743017,27.2791369742712,27.7872478365158
BGD,23.3145114975244,23.6999214768623,24.1132383547332,24.5525557512625,25.0094809886101,25.4769540701509,25.9479149992596,26.415303779311,26.87206041368,27.3111249057412,27.7254372588696,28.1100162712427,28.4787972894576,28.8407036106763,29.1944442321013,29.5395099477892,29.8753915517965,30.2015798381799,30.5175656009959,30.8228396343012,31.1168927321524,31.3992156886061,31.673734726234,32.1578465036834
BGR,68.2631454467773,69.196711983564,69.4859161376953,69.7808456420898,69.9193344116211,70.0869598388672,70.5075225830078,70.6844177246094,70.902099609375,71.3017349243164,71.5149307250977,72.6101653885532,72.7684860229492,72.9632821572019,73.0844879150391,73.1030578613281,73.1750030517578,73.3904571533203,73.600212097168,73.7162322998047,73.3239898681641,73.346765618041,73.4799164005224,73.7322671584613
BHR,87.8356209595597,87.8397146150894,88.1427867595875,88.8325339694118,89.8569005979296,91.168165501421,92.7186075361661,94.460505558445,96.3461384245376,98.3277849907243,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BHS,81.0361161567684,81.152720524793,81.3054206830642,81.4819614595541,81.6708410883427,81.8605578035102,82.0396098391364,82.1964954293015,82.3197128080855,82.3977602095684,82.4198104431593,82.4130347470308,82.3947485339925,82.3635791100868,82.3180931037043,82.2568571432361,82.1784378570728,82.0814018736052,81.9643158212241,81.8257463283204,81.6642600232849,81.4784235345083,81.3200717047725,81.3213799173676
BIH,42.5539898606589,42.8761478375679,43.1975585685863,43.5181993184523,43.8380473519042,44.1570799336802,44.4752743285185,44.7926078011574,45.1090576163352,45.4246010387901,45.7392153332604,46.0528777644843,46.3655655972,46.6954224739896,47.130783484831,47.5711645087011,48.0248845752382,48.4918401819106,48.971927825824,49.4650440037758,49.9710852122997,50.4899479477034,51.0215287060993,51.5657239834305
BLR,69.9172295434732,70.3147201538086,70.8804702758789,71.3092422485352,71.7658538818359,72.0310134887695,72.6113815307617,73.0913467407227,73.5531692504883,74.1909646620571,74.5501403808594,75.0597534179688,75.5281066894531,75.94970703125,76.3405227661133,76.6263885498047,76.8458709716797,77.0208206176758,77.2132720947266,77.4550771852757,77.7890385790408,78.131086803694,78.4732787892908,78.8146420666327
BLZ,47.6836847507377,47.6257993221451,47.4865009861554,47.2806245981404,47.0226655922949,46.7271194028137,46.4084814638913,46.0812472097226,45.7599120745023,45.4589714924251,45.1914838193558,44.9417819131729,44.6903068035216,44.4380542363795,44.1850161758379,43.931184585988,43.6765514309211,43.4211086747287,43.164848281502,42.9077622153323,42.649842440311,42.3910809205294,42.1373251262137,41.9459437504976
BMU,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
