country,year,fertility,gdp,unemployment,education,labor_force,urbanization,region,infant_mortality
MDA,2014,1.82,3289.95758568777,1.45,105.129838400056,69.207,39.6298484802246,Europa,14.4
MDA,2015,1.87,2749.55137054338,1.781,105.821275331092,69.413,39.6954040527344,Europa,14.2
MDA,2016,1.89,2847.08794770479,1.591,106.359346502359,68.93,39.7373237609863,Europa,14.0
MDA,2017,1.81,3453.26727720294,1.622,94.1081275473507,67.43,39.9736557006836,Europa,13.9
MDA,2018,1.81,4156.44981956646,1.239,95.4169685647691,66.419,40.3258094787598,Europa,13.8
MDA,2019,1.78,4405.33418162155,1.502,95.0363793316069,68.337,40.772289276123,Europa,13.7
MDA,2020,1.77,4375.7788930524,1.206,95.901275750102,68.085,41.3368530273438,Europa,13.7
MDA,2021,1.751,5274.60582195352,0.794,96.2182041066503,70.665,41.8115425109863,Europa,13.6
MDA,2022,1.694,5744.29618434435,0.909,97.3920322268435,71.543,42.4048843383789,Europa,13.6
MDA,2023,1.731,6799.58594644576,1.57,96.9969097488181,70.064,43.0011825561523,Europa,13.5
MDG,2000,5.665,280.282905559649,5.8,,83.936,25.0095755608264,África Subsahariana,65.5
MDG,2001,5.528,319.283278235657,5.35,,83.976,25.3079943968146,África Subsahariana,63.0
MDG,2002,5.412,304.941777398445,5.515,,84.029,25.6037489918904,África Subsahariana,60.6
MDG,2003,5.329,352.620095849925,5.01,,84.064,25.8967668078478,África Subsahariana,58.3
MDG,2004,5.264,272.20074858856,3.951,,84.094,26.1869753064804,África Subsahariana,56.2
MDG,2005,5.195,305.812074924388,2.62,20.1245708465576,84.114,26.4743019495822,África Subsahariana,54.2
MDG,2006,5.133,324.146874882604,2.945,22.5522499084473,84.104,26.7586741989468,África Subsahariana,52.3
MDG,2007,5.083,419.548001431865,3.202,24.8774700164795,84.08,27.0400195163682,África Subsahariana,50.4
MDG,2008,5.043,512.579800058444,3.431,26.9826602935791,84.04,27.31826536364,África Subsahariana,48.8
MDG,2009,5.003,446.315238370592,3.885,28.0163993835449,83.983,27.5933392025561,África Subsahariana,47.4
MDG,2010,4.896,450.009391645726,4.28,,83.908,27.8651684949103,África Subsahariana,46.2
MDG,2011,4.737,506.163691559309,2.516,33.6389503479004,83.812,28.1336807024963,África Subsahariana,45.2
MDG,2012,4.613,493.511162904211,0.599,34.9519919864486,83.696,28.3988032871081,África Subsahariana,44.6
MDG,2013,4.527,515.301589361832,0.995,,83.566,28.6604637105393,África Subsahariana,44.1
MDG,2014,4.421,505.684922503435,1.385,35.8271514538676,83.414,28.9185894345838,África Subsahariana,43.9
MDG,2015,4.335,445.320069480568,1.785,36.2567596435547,83.249,29.1731079210354,África Subsahariana,43.8
MDG,2016,4.285,453.970714522463,1.949,36.2822418212891,83.137,29.4239466316878,África Subsahariana,43.8
MDG,2017,4.259,491.866848718929,2.123,35.2360569008275,83.044,29.671033028335,África Subsahariana,43.9
MDG,2018,4.246,500.45718552916,2.303,35.3710327591243,82.971,29.9181125346909,África Subsahariana,44.2
MDG,2019,4.221,499.818837622534,2.479,33.6142692093689,82.916,30.3046972370204,África Subsahariana,44.5
MDG,2020,4.17,450.771615201509,3.292,,82.152,30.7019474167548,África Subsahariana,44.7
MDG,2021,4.104,483.469463351195,3.498,35.2580222250234,82.807,31.1137123216036,África Subsahariana,44.9
MDG,2022,4.036,503.51453347296,3.186,,82.83,31.5397813465886,África Subsahariana,44.7
MDG,2023,3.972,508.718427705591,3.044,,82.866,31.9799438860946,África Subsahariana,44.2
MDV,2000,2.691,2213.81235053178,1.97,55.1308898925781,37.037,27.6038586493758,Otro,33.5
MDV,2001,2.532,3033.93234507036,3.038,65.1399536132812,37.045,28.5499181889238,Otro,29.8
MDV,2002,2.425,3076.07007160101,4.094,67.695426940918,37.054,29.8881681908815,Otro,26.5
MDV,2003,2.342,3548.5767011056,5.126,73.7963104248047,37.061,31.3913356462169,Otro,23.4
MDV,2004,2.262,4070.2609459446,6.151,74.3923034667969,37.065,32.8541942827704,Otro,21.8
MDV,2005,2.199,3796.51546524644,7.313,,37.066,34.0715178283824,Otro,18.6
MDV,2006,2.204,5018.94335409159,8.345,,36.958,34.8678636610379,Otro,16.7
MDV,2007,2.293,5758.10286933053,9.421,,36.73,35.4340781469745,Otro,15.2
MDV,2008,2.371,6757.43280929292,10.361,,36.495,35.9335121678807,Otro,13.9
MDV,2009,2.39,6734.03165601895,11.697,,36.285,36.3718272129661,Otro,12.8
MDV,2010,2.349,7173.59601844692,10.875,79.9723518230517,36.624,36.7646137762553,Otro,11.9
MDV,2011,2.307,7424.520410971,10.043,84.0012033694344,36.983,37.1274623517731,Otro,11.1
MDV,2012,2.254,7461.29703686309,9.134,79.41343067531,37.361,37.475963433544,Otro,10.4
MDV,2013,2.174,8236.08177944126,8.295,75.8327847267939,37.756,37.8257075155926,Otro,9.8
MDV,2014,2.089,8939.07416571472,7.461,79.8635047566524,38.163,38.1938859868107,Otro,9.1
MDV,2015,2.004,9644.90655028145,6.611,80.7421762848119,38.573,38.5771510715291,Otro,8.5
MDV,2016,1.903,9947.80744731739,5.771,78.7856349500185,38.986,38.9560872317815,Otro,8.0
MDV,2017,1.798,10509.628805812,5.377,79.1508430806623,39.781,39.32787719143,Otro,7.4
MDV,2018,1.71,11423.2838427029,4.962,84.4644470214844,40.382,39.6923354428279,Otro,6.9
MDV,2019,1.64,11740.2724029785,4.562,78.89697265625,40.76,40.0492764783282,Otro,6.4
MDV,2020,1.613,7393.8886543933,5.42,77.4476047904192,37.104,40.3985147902839,Otro,6.0
MDV,2021,1.599,10176.143882547,5.016,,37.995,40.7398648710483,Otro,5.6
MDV,2022,1.583,11786.0191492983,4.303,79.1463748290014,40.171,41.0641769690663,Otro,5.3
MDV,2023,1.575,12587.6126038651,4.019,84.9893523087311,40.311,41.5096832933973,Otro,5.0
MEA,2000,4.01482607048311,2220.38439290516,8.4169385368672,46.2440986633301,17.845779614534,48.6994220205845,Otro,37.3
MEA,2001,3.90085522373292,2153.19332542263,8.42943669202,46.6951484680176,17.9360351009801,49.0163705355735,Otro,35.7
MEA,2002,3.79395138243059,2092.42427637017,8.48914200309222,47.1025695800781,17.681395096538,49.2729068924264,Otro,34.2
MEA,2003,3.72630163365794,2279.51886072397,8.30300037305323,47.8145904541016,18.1803311220953,49.5183573887709,Otro,32.8
MEA,2004,3.63070073112687,2624.1893550003,7.54776306570901,48.8658218383789,18.6754814294737,49.8079884517661,Otro,31.4
MEA,2005,3.57811114316293,3050.86086272731,7.65760282606948,48.9622802734375,19.1377315938037,50.1043079184128,Otro,30.1
MEA,2006,3.56377930573561,3482.47657906214,7.22108801251314,50.9403991699219,19.3763891253489,50.3795976913063,Otro,28.8
MEA,2007,3.54500927423124,4010.05228061244,6.82070410411982,50.944751739502,19.6894553730983,50.6801329870905,Otro,27.5
MEA,2008,3.52422252680883,4834.32204392542,6.58386551452508,51.2119216918945,19.3164932927168,50.9861350256982,Otro,26.3
MEA,2009,3.50913344979088,4256.64048356928,6.71404844364157,52.2615699768066,19.9446783362503,51.2777903563857,Otro,25.3
MEA,2010,3.49627868102769,4867.92943497015,6.85675050559872,52.1970100402832,20.2490366235469,51.496551443161,Otro,24.4
MEA,2011,3.47744099649193,5731.46333788345,7.23452105809906,53.5247993469238,20.064185586662,51.8428269722488,Otro,23.6
MEA,2012,3.47103841927052,6048.09249990772,8.34766826613965,53.5537109375,20.3108734459906,52.3441905145837,Otro,23.1
MEA,2013,3.45458378198777,5866.59647635813,7.92975020058705,52.0718307495117,20.3406954892715,52.9394246896376,Otro,22.5
MEA,2014,3.43769825413249,5810.23874019206,7.64519859427481,53.0181198120117,20.5223107693239,53.3224917392575,Otro,21.7
MEA,2015,3.40467709971311,5125.68064083245,8.36498933286657,53.8907585144043,21.0850188228097,53.6392632351358,Otro,21.2
MEA,2016,3.34433522982973,5126.05331639032,8.0751146709309,54.9065208435059,21.2291491100509,53.9026375690062,Otro,20.5
MEA,2017,3.31820651237254,5279.47951180077,8.5198428948238,55.0110015869141,20.784490192352,54.0927613956461,Otro,20.1
MEA,2018,3.23367617917511,5545.88899607591,8.53535637968998,56.3839988708496,19.9759665959993,54.2444653262483,Otro,19.8
